@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %08s "no-title"
@ ORIGIN           %18s "5.05.01 Windows 64"
@ DATE             %08s "15/07/20"
@ TIME             %08s "13.35.15"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "TT40TT41$START"    "MARKER"                             0                  0                  0        -2314.71736         2401.75556         4456.10249        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "PT.EXTRACTION"     "MARKER"                             0                  0                  0        -2314.71736         2401.75556         4456.10249        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_0"           "DRIFT"                         1.5565             1.5565                  0       -2315.998448        2401.755837        4455.218462        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "MDMV.400097"       "VKICKER"                       2.0645              0.508                  0       -2316.416561        2401.755927        4454.929939        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_1"           "DRIFT"                         2.1845               0.12                  0       -2316.515328        2401.755949        4454.861783        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "BPK.400099"        "MONITOR"                       2.6345               0.45                  0       -2316.885703        2401.756029        4454.606202        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_2"           "DRIFT"                         2.9045               0.27                  0       -2317.107928        2401.756077        4454.452853        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "QTMD.400100"       "QUADRUPOLE"                    4.3045                1.4                  0       -2318.260208        2401.756326         4453.65771        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_3"           "DRIFT"                         4.5245               0.22                  0       -2318.441281        2401.756365        4453.532759        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "MDMH.400104"       "HKICKER"                       5.0325              0.508                  0       -2318.859393        2401.756456        4453.244236        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_4"           "DRIFT"                         5.1525               0.12                  0        -2318.95816        2401.756477        4453.176081        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "BTV.400105"        "INSTRUMENT"                    5.6025               0.45                  0       -2319.328536        2401.756557        4452.920499        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_5"           "DRIFT"                    6.104500002       0.5020000024                  0        -2319.74171        2401.756647        4452.635384        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "MBHC.400107"       "RBEND"                    11.10450416        5.000004155          -0.004466       -2323.863325        2401.757537        4449.804785        -2.17035433    0.0001780004579  -7.949503521e-007             5e-007          0          0                  0                  0 ""                 
 "DRIFT_6"           "DRIFT"                    11.60450415       0.4999999948                  0       -2324.276118        2401.757626        4449.522647        -2.17035433    0.0001780004579  -7.949503521e-007  -7.949503521e-007          0          0                  0                  0 ""                 
 "MBHC.400118"       "RBEND"                    16.60450831        5.000004155          -0.004466       -2328.410333        2401.758516        4446.710483        -2.16588833    0.0001780018315  -1.589904794e-006   7.050496479e-007          0          0                  0                  0 ""                 
 "DRIFT_7"           "DRIFT"                    17.10450831       0.5000000048                  0       -2328.824382        2401.758605        4446.430191        -2.16588833    0.0001780018315  -1.589904794e-006  -1.589904794e-006          0          0                  0                  0 ""                 
