@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %08s "no-title"
@ ORIGIN           %18s "5.05.01 Windows 64"
@ DATE             %08s "27/04/20"
@ TIME             %08s "13.33.52"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "TT40TT41_ORIGINAL$START"  "MARKER"                             0                  0                  0        -2314.71736         2401.75556         4456.10249        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_0"           "DRIFT"                         1.8955             1.8955                  0       -2316.277464        2401.755897        4455.025924        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "PT.EXTRACTION"     "MARKER"                        1.8955                  0                  0       -2316.277464        2401.755897        4455.025924        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_1"           "DRIFT"                          3.452             1.5565                  0       -2317.558552        2401.756174        4454.141895        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "MDMV.400097"       "VKICKER"                         3.96              0.508                  0       -2317.976665        2401.756265        4453.853372        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_2"           "DRIFT"                           4.08               0.12                  0       -2318.075432        2401.756286        4453.785217        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "BPK.400099"        "MONITOR"                         4.53               0.45                  0       -2318.445807        2401.756366        4453.529636        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_3"           "DRIFT"                            4.8               0.27                  0       -2318.668033        2401.756414        4453.376287        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "QTMD.400100"       "QUADRUPOLE"                       6.2                1.4                  0       -2319.820312        2401.756664        4452.581144        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_4"           "DRIFT"                           6.42               0.22                  0       -2320.001385        2401.756703        4452.456193        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "MDMH.400104"       "HKICKER"                        6.928              0.508                  0       -2320.419498        2401.756793         4452.16767        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_5"           "DRIFT"                          7.048               0.12                  0       -2320.518264        2401.756815        4452.099515        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "BTV.400105"        "INSTRUMENT"                     7.498               0.45                  0        -2320.88864        2401.756895        4451.843933        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_6"           "DRIFT"                    8.000000002       0.5020000024                  0       -2321.301814        2401.756984        4451.558818        -2.17482033           0.000178                  0                  0          0          0                  0                  0 ""                 
 "MBHC.400107"       "RBEND"                    13.00000416        5.000004155          -0.004466       -2325.423429        2401.757874        4448.728219        -2.17035433    0.0001780004579  -7.949503521e-007             5e-007          0          0                  0                  0 ""                 
 "DRIFT_7"           "DRIFT"                    13.50000415       0.4999999948                  0       -2325.836222        2401.757963         4448.44608        -2.17035433    0.0001780004579  -7.949503521e-007  -7.949503521e-007          0          0                  0                  0 ""                 
